candle_begin_time,open,high,low,close,volume
2018/9/22 21:00,6688.01,6693.18,6660,6672.73,1236.47242
2018/9/22 22:00,6673.06,6690.95,6661.48,6677.42,1057.77302
2018/9/22 23:00,6677.42,6699.03,6666.25,6689,1266.635963
2018/9/23 0:00,6687.24,6698,6674.5,6676.39,1428.497791
2018/9/23 1:00,6674.41,6678.5,6652,6663.02,1403.953827
2018/9/23 2:00,6664.09,6680.99,6663,6668.98,1154.606877
2018/9/23 3:00,6668.98,6684.45,6666.13,6682.92,1108.2057
2018/9/23 4:00,6682.91,6699,6679.04,6692.26,1685.431379
2018/9/23 5:00,6692.08,6699.02,6684.57,6689.29,1256.141209
2018/9/23 6:00,6689.3,6694.27,6668.17,6672.24,1435.406299
2018/9/23 7:00,6672.63,6689.99,6670.16,6687.37,958.6307976
2018/9/23 8:00,6686.31,6715.39,6686.31,6699.96,1678.457886
2018/9/23 9:00,6702.3,6744.85,6696.56,6730.8,3406.21916
2018/9/23 10:00,6730.02,6732.43,6715,6724.85,1458.177597
2018/9/23 11:00,6724.5,6734.8,6712.81,6712.81,1147.803217
2018/9/23 12:00,6712.8,6722.48,6701,6710.12,1945.435945
2018/9/23 13:00,6711.8,6714.11,6700.63,6704.29,960.946426
2018/9/23 14:00,6708.24,6718.67,6630.87,6658.79,3478.22336
2018/9/23 15:00,6658.79,6674.97,6643.73,6662.17,2136.704478
2018/9/23 16:00,6660.29,6679.33,6650.96,6668,1272.667426
2018/9/23 17:00,6666.66,6673.46,6658.99,6659,980.5356084
2018/9/23 18:00,6660.06,6672.02,6648.03,6672.02,1252.137536
2018/9/23 19:00,6672.02,6672.02,6650.36,6657.9,776.5827001
2018/9/23 20:00,6657.63,6668.29,6646.7,6656.87,523.7506507
2018/9/23 21:00,6655.55,6664.68,6645.42,6664.68,598.401225
2018/9/23 22:00,6662.95,6703.41,6655.66,6690.43,1371.156547
2018/9/23 23:00,6689.67,6691.7,6676.02,6678.8,882.870773
2018/9/24 0:00,6678.8,6678.8,6663,6666.66,773.9693319
2018/9/24 1:00,6667,6697.16,6667,6685.79,871.9059719
2018/9/24 2:00,6687.38,6695,6678,6686.22,740.9055581
2018/9/24 3:00,6685,6692.92,6677.75,6686.89,775.3814445
2018/9/24 4:00,6688.03,6688.03,6665.74,6676.31,1233.204839
